date,CAD_JPY,CNY_JPY,EUR_JPY,GBP_JPY,USD_JPY
2014-06-02,93.897,16.376,139.18,171.41,102.3
2014-06-03,93.809,16.37,139.5,171.53,102.39
2014-06-04,93.897,16.432,139.86,171.97,102.69
2014-06-05,93.721,16.382,139.56,172.11,102.47
2014-06-06,93.721,16.401,139.79,172.12,102.49
2014-06-09,93.985,16.429,139.34,172.24,102.54
2014-06-10,93.809,16.454,138.66,171.53,102.39
2014-06-11,93.809,16.379,138.0,171.29,101.94
2014-06-12,93.809,16.37,137.98,171.54,101.79
2014-06-13,93.897,16.432,137.99,172.99,102.05
2014-06-16,93.809,16.341,138.19,172.91,101.78
2014-06-17,94.162,16.412,138.38,173.34,102.18
2014-06-18,93.985,16.391,138.6,173.17,102.16
2014-06-19,94.073,16.35,138.73,173.62,101.86
2014-06-20,94.877,16.414,138.77,173.78,102.14
2014-06-23,94.967,16.372,138.52,173.34,101.91
2014-06-24,95.057,16.388,138.73,173.25,102.09
2014-06-25,94.877,16.319,138.71,172.78,101.72
2014-06-26,94.967,16.334,138.39,173.03,101.68
2014-06-27,94.967,16.306,138.2,172.52,101.39
2014-06-30,94.877,16.328,138.66,173.25,101.29
2014-07-02,95.42,16.393,139.0,174.7,101.78
2014-07-03,96.061,16.446,139.02,175.2,102.15
2014-07-04,95.969,16.459,138.85,175.22,102.1
2014-07-07,95.511,16.418,138.53,174.41,101.83
2014-07-08,95.147,16.375,138.27,173.93,101.56
2014-07-09,95.511,16.399,138.64,174.23,101.72
2014-07-10,95.057,16.331,137.79,173.46,101.31
2014-07-11,94.518,16.333,137.78,173.35,101.32
2014-07-14,94.697,16.364,138.29,173.4,101.53
2014-07-15,94.429,16.374,137.99,174.33,101.66
2014-07-16,94.607,16.395,137.6,174.22,101.7
2014-07-17,94.162,16.318,136.98,173.17,101.25
2014-07-18,94.429,16.336,137.02,173.05,101.39
2014-07-21,94.429,16.327,137.1,173.03,101.39
2014-07-22,94.518,16.371,136.79,173.24,101.56
2014-07-23,94.518,16.38,136.65,172.94,101.52
2014-07-24,94.787,16.436,137.13,172.89,101.82
2014-07-25,94.162,16.45,136.76,172.82,101.83
2014-07-28,94.251,16.456,136.82,172.96,101.8
2014-07-29,94.073,16.519,136.89,172.9,102.08
2014-07-30,94.34,16.679,137.68,173.94,102.92
2014-07-31,94.34,16.642,137.56,173.5,102.74
2014-08-01,93.809,16.576,137.62,172.4,102.43
2014-08-05,93.721,16.664,137.4,173.47,102.81
2014-08-06,93.633,16.601,136.62,172.2,102.3
2014-08-07,93.458,16.561,136.39,171.97,102.07
2014-08-08,92.764,16.549,136.63,170.92,101.87
2014-08-11,93.371,16.592,136.66,171.38,102.1
2014-08-12,93.371,16.592,136.5,171.73,102.18
2014-08-13,93.809,16.66,137.04,171.16,102.52
2014-08-14,93.897,16.648,137.03,171.02,102.45
2014-08-15,93.721,16.635,136.93,170.61,102.25
2014-08-18,94.162,16.695,136.97,171.43,102.53
2014-08-19,94.073,16.745,136.94,170.88,102.81
2014-08-20,94.429,16.827,137.28,171.89,103.34
2014-08-21,94.787,16.872,137.86,172.14,103.77
2014-08-22,94.967,16.904,137.65,172.34,103.99
2014-08-25,94.697,16.894,137.3,172.43,103.98
2014-08-26,95.057,16.92,137.3,172.48,104.1
2014-08-27,95.511,16.934,137.21,172.39,104.02
2014-08-28,95.602,16.893,136.78,172.07,103.8
2014-08-29,95.785,16.925,136.76,172.48,104.0
2014-09-02,96.246,17.103,138.0,173.5,105.15
2014-09-03,96.432,17.078,137.72,172.49,104.85
2014-09-04,96.899,17.151,136.07,172.08,105.26
2014-09-05,96.339,17.081,135.92,171.14,104.91
2014-09-08,96.618,17.198,136.77,170.49,105.63
2014-09-09,96.525,17.326,137.21,170.99,106.29
2014-09-10,97.466,17.417,137.82,172.26,106.77
2014-09-11,96.899,17.442,138.28,173.43,106.9
2014-09-12,96.805,17.473,138.9,174.15,107.22
2014-09-15,96.993,17.449,138.81,174.09,107.19
2014-09-16,97.276,17.393,138.74,173.95,106.91
2014-09-17,98.232,17.525,139.41,175.68,107.58
2014-09-18,99.305,17.706,140.37,177.94,108.7
2014-09-19,99.305,17.736,139.81,177.7,108.93
2014-09-22,98.912,17.735,139.68,177.9,108.88
2014-09-23,98.425,17.736,139.97,178.19,108.86
2014-09-24,98.232,17.751,139.3,178.04,108.94
2014-09-25,97.847,17.71,138.53,177.26,108.67
2014-09-26,97.943,17.845,138.71,177.72,109.34
2014-09-29,98.135,17.782,138.95,177.92,109.37
2014-09-30,97.847,17.867,138.48,177.87,109.67
2014-10-01,97.847,17.808,137.91,177.23,109.31
2014-10-02,96.993,17.624,137.03,174.56,108.16
2014-10-03,97.466,17.875,137.31,175.1,109.71
2014-10-06,97.656,17.773,137.42,174.91,109.13
2014-10-07,96.899,17.645,136.8,174.14,108.35
2014-10-08,96.899,17.645,137.42,174.08,108.35
2014-10-09,96.899,17.626,137.02,174.17,108.03
2014-10-10,96.525,17.597,136.31,173.13,107.89
2014-10-14,95.329,17.483,135.61,170.62,107.11
2014-10-15,93.985,17.321,135.58,169.33,106.1
2014-10-16,94.073,17.31,135.78,170.25,105.98
2014-10-17,94.877,17.429,136.11,171.65,106.72
2014-10-20,94.787,17.46,136.63,172.48,106.89
