date,01202,04100,13102,14382,14384,16201,17201,22205,24203,26100,32203,34100,42201,47207
2014-06-01,73,728,411,88,22,217,232,27,74,1630,33,333,27,17
2014-06-02,55,437,437,15,3,60,106,16,43,926,10,194,23,20
2014-06-03,72,437,459,12,2,50,134,10,33,871,16,210,29,10
2014-06-04,54,572,551,6,2,80,189,8,14,958,22,235,49,2
2014-06-05,63,483,471,18,0,76,150,5,26,1079,13,302,44,7
2014-06-06,68,556,480,19,3,112,171,7,27,1064,62,435,25,5
2014-06-07,88,625,460,19,7,169,340,21,45,1407,51,589,59,7
2014-06-08,85,595,436,54,6,156,396,26,47,1391,45,591,57,6
2014-06-09,86,458,473,19,3,76,176,14,22,1010,24,191,39,10
2014-06-10,67,475,531,20,2,82,134,14,29,945,23,246,58,10
2014-06-11,57,528,433,12,7,67,107,9,18,962,37,372,29,5
2014-06-12,35,597,474,8,0,63,122,10,18,939,15,267,25,8
2014-06-13,42,787,650,44,1,97,142,21,55,1074,25,265,40,10
2014-06-14,66,1171,570,72,16,142,256,46,601,1473,61,389,65,22
2014-06-15,50,748,420,57,17,113,208,48,530,1608,32,346,63,6
2014-06-16,45,461,417,37,3,109,142,17,82,929,25,238,30,14
2014-06-17,65,487,493,18,4,89,155,10,24,1068,22,290,12,8
2014-06-18,92,508,515,16,5,72,131,8,28,968,32,308,23,19
2014-06-19,47,454,492,15,3,70,170,17,25,1095,16,289,39,17
2014-06-20,87,512,549,21,1,105,179,18,30,1065,30,306,45,10
2014-06-21,91,611,527,100,23,135,223,47,62,1440,33,429,37,17
2014-06-22,91,612,369,50,6,102,154,35,59,1127,52,445,31,10
2014-06-23,22,70,68,9,0,14,13,9,12,188,13,22,3,3
2014-06-24,49,402,378,17,1,59,76,7,17,821,39,192,23,6
2014-06-25,59,448,484,7,0,103,92,1,37,834,22,244,39,8
2014-06-26,65,374,440,11,0,64,94,14,22,806,17,223,34,18
2014-06-27,108,465,443,41,3,96,129,15,15,910,36,261,21,14
2014-06-28,70,631,409,29,5,129,123,29,60,1167,42,339,41,19
2014-06-29,40,509,258,62,7,113,185,32,54,1111,50,353,25,18
2014-06-30,77,366,306,25,2,51,131,5,10,645,35,234,20,17
2014-07-01,51,341,399,23,1,55,140,7,24,680,12,247,29,8
2014-07-02,51,333,420,28,2,78,96,11,18,695,38,246,15,15
2014-07-03,42,364,367,6,0,73,100,6,20,568,9,205,22,11
2014-07-04,68,427,370,20,7,70,108,15,6,758,26,270,15,7
2014-07-05,91,789,531,87,2,123,161,35,15,1362,31,402,31,24
2014-07-06,85,812,357,88,15,114,122,42,28,855,38,311,37,6
2014-07-07,40,357,344,25,1,46,92,14,21,598,8,175,36,9
2014-07-08,59,420,380,12,1,56,97,7,19,646,11,197,24,2
2014-07-09,61,367,322,11,0,65,82,2,8,608,12,196,8,5
2014-07-10,54,656,345,9,0,54,90,7,2,548,23,201,23,10
2014-07-11,76,611,404,22,2,87,139,10,11,751,33,185,27,16
2014-07-12,56,807,493,92,8,106,163,27,44,1124,39,343,45,19
2014-07-13,73,643,429,55,4,86,145,30,76,1326,26,260,32,21
2014-07-14,74,297,307,20,1,43,89,7,29,763,12,188,31,13
2014-07-15,30,366,388,15,3,39,113,16,21,943,30,347,19,12
2014-07-16,42,357,373,4,2,77,99,14,17,964,12,218,23,3
2014-07-17,39,373,393,5,2,61,85,10,18,799,16,217,48,4
2014-07-18,52,447,359,20,0,71,133,15,25,766,35,208,26,7
2014-07-19,51,260,173,13,1,52,106,25,38,604,40,195,35,2
2014-07-20,66,255,172,17,2,57,96,20,65,761,39,138,29,4
2014-07-21,45,218,152,18,1,43,106,31,30,468,29,145,20,0
2014-07-22,39,153,147,6,0,28,66,6,3,307,12,88,17,3
2014-07-23,30,162,144,0,1,16,29,4,8,247,7,79,7,0
