局ID	基地局住所
00013490096	北海道函館市木直町３１２番地
00013490120	北海道函館市御崎町９８
00013499165	北海道函館市釜谷町３０４－１
00013499194	北海道函館市紅葉山町
00014499421	北海道函館市絵紙町2-95
00023049017	宮城県仙台市若林区今泉１－１５－８
00023049025	宮城県仙台市泉区実沢字中山北１８－２６
00023049058	宮城県仙台市泉区将監殿１－２－６
00023049402	宮城県仙台市太白区茂庭字人来田西１３５－１０
00023049683	宮城県仙台市青葉区新川字八森４０
00024049697	宮城県仙台市泉区朴沢字狩集６
00033130167	東京都中央区築地４－１－１東劇ビル
00033139519	東京都港区芝浦３－１１－９
00033140537	神奈川県中郡二宮町中里
00033149937	神奈川県小田原市根府川字湯山４７６番地２７
00043220526	静岡県伊豆の国市田中山
00043223471	静岡県伊東市玖須美元和田
00043240364	三重県伊勢市二見町江字鮫川４７５－１
00043243178	三重県伊勢市通町字真菰原９６番１
00043249349	三重県多気郡明和町大字南藤原字起６８５番４
00053160118	富山県中新川郡上市町放士ケ瀬
00053160153	富山県富山市婦中町外輪野
00053167400	富山県滑川市浜四ツ屋
00053175331	石川県白山市鶴来日詰町メ８番
00053179014	石川県白山市徳光町３９７８番３
00053179024	石川県金沢市専光寺町カ３９
00054176021	石川県金沢市石黒町ロ１１６番１
00063260340	京都府京都市右京区京北細野町東ノ垣内30番
00063269085	京都府京都市左京区大原井出町３４１番
00064253830	滋賀県大津市梅林2-6-28
00064264407	京都府京都市山科区東野八反畑町58
00073320148	島根県出雲市所原町大字小向２０４５－１
00073320176	島根県出雲市多伎町大字口田儀７２０
00073329575	島根県出雲市小津町向山１７０３番１１
00073329737	島根県出雲市上島町字手作２４１０番
00073342387	広島県広島市佐伯区湯来町大字多田下本多田６９９－１
00073342445	広島県広島市中区袋町６番６
00073342510	広島県広島市安佐北区白木町大字志路字井出山３１６番１
00073349166	広島県広島市安佐南区山本１丁目方置山２２４３番
00073349302	広島県広島市安芸区矢野西３丁目１２５８番１
00073349804	広島県広島市佐伯区楽々園２丁目５３６番地６
00093420223	長崎県長崎市神浦向町字イチヨウ２３２
00093470114	沖縄県八重山郡竹富町字西表仲良１４９９－２２
00093479041	沖縄県石垣市字新川皆野宿１５８３－２４７
00094421171	長崎県長崎市宮崎町字板ノ迫２０７７－１０
00094421358	長崎県長崎市船石町７９３
00094421689	長崎県長崎市茂木町１４２３－１
00094429728	長崎県長崎市西海町字大田尾１２３７－３
02030130002	東京都江東区新木場2-15-20
