date,局ID,日平均気温(毎正時の平均値),日最高気温(毎正時の最大値),日最低気温(毎正時の最小値),相対湿度(0時時点),相対湿度(6時時点),相対湿度(12時時点),相対湿度(18時時点),1時間降水量の日最大,降水量の積算値(0時-6時),降水量の積算値(6時-12時),降水量の積算値(12時-18時),降水量の積算値(18時-24時)
2014-06-01,00013490096,17.0,22.0,13.4,49.3,72.9,61.1,59.5,0.0,0.0,0.0,0.0,0.0
2014-06-02,00013490096,12.5,14.8,10.9,91.5,80.6,94.7,94.9,0.0,0.0,0.0,0.0,0.0
2014-06-03,00013490096,13.0,16.7,9.8,98.0,97.6,85.8,77.3,0.0,0.0,0.0,0.0,0.0
2014-06-04,00013490096,11.7,15.6,8.4,97.8,97.7,94.0,98.4,0.0,0.0,0.0,0.0,0.0
2014-06-05,00013490096,10.6,12.7,9.6,98.6,98.8,98.9,98.5,0.0,0.0,0.0,0.0,0.0
2014-06-06,00013490096,10.3,13.2,9.0,98.8,98.7,98.7,98.7,0.0,0.0,0.0,0.0,0.0
2014-06-07,00013490096,11.0,12.7,10.0,98.6,98.4,98.7,98.8,1.5,0.0,0.0,0.5,2.5
2014-06-08,00013490096,12.1,13.3,9.4,98.6,98.4,98.6,98.6,4.0,13.5,11.5,1.0,4.0
2014-06-09,00013490096,13.1,13.6,11.7,98.5,98.8,98.8,98.8,0.5,0.5,0.5,0.0,0.0
2014-06-10,00013490096,13.0,14.3,9.0,98.7,98.8,98.3,98.4,0.5,0.5,0.0,0.0,0.0
2014-06-11,00013490096,8.9,10.2,7.7,98.8,98.9,98.9,98.9,0.0,0.0,0.0,0.0,0.0
2014-06-12,00013490096,12.5,16.7,9.0,99.0,99.0,98.6,98.7,7.0,3.0,2.5,6.0,9.0
2014-06-13,00013490096,12.9,15.1,10.6,98.8,99.0,99.0,98.3,16.0,60.5,9.0,2.0,0.0
2014-06-14,00013490096,14.2,18.4,11.6,95.2,90.2,90.9,98.7,0.0,0.0,0.0,0.0,0.0
2014-06-15,00013490096,15.0,18.6,10.5,96.0,98.9,88.1,96.1,0.0,0.0,0.0,0.0,0.0
2014-06-16,00013490096,13.5,15.3,11.8,98.5,98.6,96.6,98.7,1.0,0.0,0.0,0.0,2.0
2014-06-17,00013490096,11.0,11.7,10.5,98.8,98.8,98.7,98.9,0.5,0.0,0.0,0.0,0.5
2014-06-18,00013490096,12.0,14.4,10.5,99.0,99.0,98.6,98.0,0.5,0.0,0.0,0.5,0.0
2014-06-19,00013490096,13.8,15.9,11.8,99.0,98.8,98.2,98.5,0.5,0.0,0.0,0.0,0.5
2014-06-20,00013490096,13.9,16.7,12.5,98.7,98.8,94.5,96.3,1.0,4.5,0.5,0.0,0.0
2014-06-21,00013490096,13.3,16.5,10.1,98.2,95.5,94.0,95.8,0.0,0.0,0.0,0.0,0.0
2014-06-22,00013490096,13.2,16.7,10.8,98.3,98.1,97.8,97.9,0.0,0.0,0.0,0.0,0.0
2014-06-23,00013490096,15.3,18.9,12.0,98.9,98.4,94.0,86.2,0.0,0.0,0.0,0.0,0.0
2014-06-24,00013490096,14.4,17.9,12.4,97.9,98.7,97.5,92.9,0.0,0.0,0.0,0.0,0.0
2014-06-25,00013490096,13.8,16.6,11.4,98.6,98.8,97.9,98.0,0.0,0.0,0.0,0.0,0.0
2014-06-26,00013490096,13.4,16.6,12.2,98.9,98.9,98.3,98.8,0.0,0.0,0.0,0.0,0.0
2014-06-27,00013490096,14.7,17.3,13.5,99.0,99.0,98.0,98.8,0.0,0.0,0.0,0.0,0.0
2014-06-28,00013490096,15.3,18.1,13.8,99.1,99.1,99.0,98.8,0.0,0.0,0.0,0.0,0.0
2014-06-29,00013490096,15.2,18.7,12.4,99.1,99.2,98.1,98.1,0.0,0.0,0.0,0.0,0.0
2014-06-30,00013490096,13.2,15.3,11.1,99.0,99.1,98.1,98.8,0.0,0.0,0.0,0.0,0.0
2014-07-01,00013490096,15.8,22.0,10.9,99.0,99.1,98.1,94.5,0.0,0.0,0.0,0.0,0.0
2014-07-02,00013490096,18.5,21.6,15.3,98.8,98.6,80.7,90.5,0.0,0.0,0.0,0.0,0.0
2014-07-03,00013490096,17.1,19.5,15.1,98.7,99.0,98.7,98.9,0.0,0.0,0.0,0.0,0.0
2014-07-04,00013490096,15.9,17.4,13.8,98.9,97.7,95.1,93.8,0.0,0.0,0.0,0.0,0.0
2014-07-05,00013490096,15.0,17.9,12.7,97.8,96.2,88.8,88.0,0.0,0.0,0.0,0.0,0.0
2014-07-06,00013490096,15.6,19.0,12.5,98.5,98.5,95.5,92.7,0.0,0.0,0.0,0.0,0.0
2014-07-07,00013490096,14.4,16.3,12.6,98.6,99.0,98.7,98.9,0.0,0.0,0.0,0.0,0.0
2014-07-08,00013490096,17.0,23.6,13.4,99.0,99.1,98.3,92.6,0.0,0.0,0.0,0.0,0.0
2014-07-09,00013490096,17.0,18.7,16.0,98.7,98.9,98.0,98.3,0.0,0.0,0.0,0.0,0.0
2014-07-10,00013490096,17.2,21.4,15.6,98.9,99.0,98.4,99.1,5.5,10.0,2.5,0.0,0.5
