date,気象観測地ID,日照時間,日照時間（平年）,全天日射量,全天日射量（平年）,平均風速,最大風速,最大風速風向,最大瞬間風速,最大瞬間風速（風向）,最多風向,平均雲量,平均雲量（平年）,天気（日中）,天気（夜）,平均現地気圧,降雪量,降雪量（平年）,最深積雪,最深積雪（平年）
2014-06-01,w000001,13.2,6.4,28.17,18.2,2.7,5.1,南東,6.8,南南東,東南東,2.0,7.1,晴,晴,1006.7,0.0,0.0,0.0,0.0
2014-06-02,w000001,13.9,6.3,28.34,18.3,1.6,4.1,南南東,5.6,南南東,南南東,0.0,7.1,快晴,快晴,1009.5,0.0,0.0,0.0,0.0
2014-06-03,w000001,13.0,6.3,27.15,18.3,1.5,3.2,南南東,4.7,南南東,南西,2.5,7.1,晴一時薄曇,薄曇一時晴,1007.6,0.0,0.0,0.0,0.0
2014-06-04,w000001,13.1,6.3,28.16,18.3,1.6,3.5,南南東,5.0,南南東,西南西,8.0,7.2,晴後薄曇,薄曇,1007.2,0.0,0.0,0.0,0.0
2014-06-05,w000001,11.5,6.3,26.92,18.4,5.5,11.7,東,17.1,東南東,東,10.0,7.2,薄曇,曇,1006.9,0.0,0.0,0.0,0.0
2014-06-06,w000001,1.9,6.3,13.95,18.4,6.6,9.2,東,14.4,東,東,9.5,7.2,曇一時雨,曇一時雨,1007.4,0.0,0.0,0.0,0.0
2014-06-07,w000001,0.0,6.3,5.57,18.4,6.2,9.6,東,14.4,東,東,10.0,7.2,雨,雨後一時曇,1009.1,0.0,0.0,0.0,0.0
2014-06-08,w000001,0.0,6.3,6.66,18.4,6.1,8.8,東南東,13.3,東南東,東南東,10.0,7.3,雨,雨,1009.7,0.0,0.0,0.0,0.0
2014-06-09,w000001,0.0,6.2,7.98,18.4,6.3,8.2,東南東,12.2,東,東,10.0,7.3,雨一時曇,雨時々曇,1011.3,0.0,0.0,0.0,0.0
2014-06-10,w000001,1.4,6.2,14.43,18.3,4.8,7.3,東,11.6,東南東,東,9.8,7.3,曇時々雨,曇一時霧雨,1010.3,0.0,0.0,0.0,0.0
2014-06-11,w000001,0.0,6.1,7.0,18.3,4.8,7.7,東,10.9,東,東,10.0,7.3,雨時々曇,雨時々曇,1004.0,0.0,0.0,0.0,0.0
2014-06-12,w000001,0.0,6.1,4.79,18.2,4.1,9.2,東,14.4,東,東南東,10.0,7.3,雨一時曇,暴風雨、雷を伴う,997.3,0.0,0.0,0.0,0.0
2014-06-13,w000001,0.1,6.0,4.73,18.1,5.1,18.1,東北東,31.8,北東,西南西,10.0,7.4,雨一時曇,雨時々曇,985.7,0.0,0.0,0.0,0.0
2014-06-14,w000001,0.1,5.9,6.43,18.0,3.9,7.6,西,12.1,西南西,西南西,9.8,7.4,雨後時々曇,曇時々雨,993.8,0.0,0.0,0.0,0.0
2014-06-15,w000001,0.6,5.8,9.69,17.9,2.0,6.3,南西,10.0,西南西,東南東,10.0,7.4,曇時々雨,曇時々雨,997.3,0.0,0.0,0.0,0.0
2014-06-16,w000001,1.1,5.7,11.85,17.7,1.8,5.6,南東,8.6,南東,南東,10.0,7.5,曇時々雨,雨後曇,1000.1,0.0,0.0,0.0,0.0
2014-06-17,w000001,0.0,5.6,12.28,17.6,1.6,3.3,西,4.5,西,南西,10.0,7.6,曇後一時雨,曇,1002.6,0.0,0.0,0.0,0.0
2014-06-18,w000001,6.3,5.5,19.8,17.5,1.8,4.6,西南西,6.8,西,南,9.0,7.6,曇一時雨,曇時々雨,1000.9,0.0,0.0,0.0,0.0
2014-06-19,w000001,0.1,5.5,9.24,17.4,1.6,3.3,南南東,5.0,南,南南東,10.0,7.6,曇時々雨,雨,1000.4,0.0,0.0,0.0,0.0
2014-06-20,w000001,5.3,5.4,16.58,17.3,2.0,4.4,南南東,6.4,南東,南南東,7.0,7.7,雨後晴,快晴,1003.5,0.0,0.0,0.0,0.0
2014-06-21,w000001,13.7,5.4,28.2,17.3,1.8,4.7,南南東,6.0,南南東,南南東,5.0,7.7,晴時々薄曇,晴一時薄曇,1006.2,0.0,0.0,0.0,0.0
2014-06-22,w000001,14.4,5.4,30.29,17.2,1.9,4.3,南南東,6.4,南南東,南南東,0.5,7.8,晴,晴後一時曇,1001.0,0.0,0.0,0.0,0.0
2014-06-23,w000001,5.6,5.4,20.17,17.2,2.5,5.5,南西,7.6,南西,南東,6.8,7.8,曇後晴,晴後一時曇,999.2,0.0,0.0,0.0,0.0
2014-06-24,w000001,12.1,5.3,28.04,17.1,2.1,4.4,南南東,6.4,南,南南東,2.5,7.8,晴一時曇,快晴,1001.9,0.0,0.0,0.0,0.0
2014-06-25,w000001,12.2,5.3,27.72,17.1,2.4,5.5,南東,7.4,南東,南東,1.8,7.8,晴,晴,1005.8,0.0,0.0,0.0,0.0
2014-06-26,w000001,14.4,5.3,29.05,17.1,1.8,3.9,西北西,6.0,南,南,0.3,7.8,快晴,晴後曇一時霧,1006.8,0.0,0.0,0.0,0.0
2014-06-27,w000001,11.2,5.3,26.29,17.0,1.8,3.7,西南西,5.7,西,南南東,9.8,7.9,曇一時晴,曇,1005.0,0.0,0.0,0.0,0.0
2014-06-28,w000001,11.0,5.2,27.49,16.9,5.1,9.4,東,14.5,東,東,8.5,7.9,薄曇時々晴,曇一時霧雨,1001.7,0.0,0.0,0.0,0.0
2014-06-29,w000001,0.0,5.2,8.16,16.8,5.5,7.2,東,10.8,東北東,東,10.0,7.9,曇後一時雨,曇時々雨,1000.8,0.0,0.0,0.0,0.0
2014-06-30,w000001,13.0,5.1,28.35,16.7,2.3,4.6,南南東,7.1,南南東,南南東,5.5,7.9,薄曇後晴,快晴,1003.2,0.0,0.0,0.0,0.0
2014-07-01,w000001,14.3,5.0,28.05,16.5,2.1,4.3,西北西,6.5,南南東,南南東,2.0,8.0,晴,晴,1005.7,0.0,0.0,0.0,0.0
2014-07-02,w000001,1.9,4.9,15.05,16.3,2.3,5.3,西,7.6,西,西北西,6.3,8.0,曇一時晴,曇時々晴,1006.1,0.0,0.0,0.0,0.0
2014-07-03,w000001,7.8,4.8,20.08,16.2,2.3,5.4,南南東,8.7,東南東,南南東,8.0,8.1,晴時々曇,晴後曇時々雨,1003.5,0.0,0.0,0.0,0.0
2014-07-04,w000001,0.0,4.6,5.06,15.9,5.1,7.7,東,11.4,東南東,東,10.0,8.1,曇時々雨,曇時々霧雨,1004.9,0.0,0.0,0.0,0.0
2014-07-05,w000001,7.0,4.5,20.44,15.7,3.4,6.0,東,8.8,東南東,東,6.3,8.2,曇時々晴,晴後曇,1006.5,0.0,0.0,0.0,0.0
2014-07-06,w000001,4.0,4.4,18.95,15.5,1.8,3.9,南南東,6.7,南南東,南南東,7.8,8.2,曇一時霧雨後一時晴,晴時々曇,1005.7,0.0,0.0,0.0,0.0
2014-07-07,w000001,6.0,4.3,21.43,15.3,1.9,4.0,南南東,6.1,南南東,南,7.3,8.3,曇,曇,1003.5,0.0,0.0,0.0,0.0
2014-07-08,w000001,9.8,4.2,26.04,15.1,2.2,4.4,南東,6.7,南東,南南東,7.3,8.3,晴後曇,曇時々晴,1005.1,0.0,0.0,0.0,0.0
